Start date,Description,Item description,Planning,Actual,Unit
1/15/2024,Plant-02 Night Shift,Rectangle 60x40/6cm/Black,115.20000000,115.20000000,M2
1/15/2024,Plant-03 Day Shift,Square 40x40/8cm/Grey,288.00000000,288.00000000,M2
1/15/2024,TopWerk,Rectangle 60x40/8cm/White/ShotBlast-Curl-Coat,48.00000000,44.00000000,M2
1/15/2024,TopWerk,Rectangle 60x40/8cm/Grey/ShotBlast,187.00000000,167.00000000,M2
1/18/2024,Kerbstone,Kerbstone 60x30x15 10ch,"1,115.00000000","1,115.00000000",Nos
1/18/2024,Kerbstone,Kerbstone 91.5x20x10 B/N,830.00000000,830.00000000,Nos
1/18/2024,Kerbstone,Kerbstone 60x30x15 B/N,"1,155.00000000","1,155.00000000",Nos
1/18/2024,Kerbstone,Kerbstone 60x35x20 15ch,500.00000000,500.00000000,Nos
1/18/2024,Plant-01 Day Shift,Uni Starter/6cm/Red,"1,161.00000000","1,161.00000000",M2
1/18/2024,Plant-01 Day Shift,Uni Block/8cm/Red/Single Mix,428.54000000,428.54000000,M2
1/18/2024,Plant-01 Night Shift,Uni Block/6cm/Grey,"1,210.75000000","1,210.75000000",M2
1/18/2024,Plant-02 Day Shift,I-Shape/6cm/Red,359.58000000,359.58000000,M2
1/18/2024,Plant-02 Day Shift,Square 8x8/6cm/Yellow,438.00000000,438.00000000,M2
1/18/2024,Plant-02 Day Shift,Rectangle 20x10/8cm/Yellow,424.80000000,424.80000000,M2
1/18/2024,Plant-02 Night Shift,Rectangle 20x10/8cm/Yellow,624.00000000,624.00000000,M2
1/18/2024,Plant-02 Night Shift,Square 20x20/8cm/Yellow,"1,044.00000000","1,044.00000000",M2
1/18/2024,TopWerk,Rectangle 60x40/8cm/White/ShotBlast-Curl-Coat,144.00000000,136.00000000,M2
1/18/2024,TopWerk,Rectangle 60x40/8cm/Grey/ShotBlast-Curl-Coat,136.00000000,130.00000000,M2
1/18/2024,TopWerk,Rectangle 60x30/6cm/White/ShotBlast-Curl,334.00000000,308.00000000,M2
1/18/2024,TopWerk,Rectangle 20x10/6cm/Light Yellow/ShotBlast-Curl,45.00000000,41.00000000,M2
1/20/2024,Kerbstone,Kerbstone 60x30x15 10ch,"1,665.00000000","1,665.00000000",Nos
1/20/2024,Kerbstone,Kerbstone 91.5x20x10 B/N,740.00000000,740.00000000,Nos
1/20/2024,Kerbstone,Kerbstone 60x30x15 B/N,"1,090.00000000","1,090.00000000",Nos
1/20/2024,Plant-01 Day Shift,Uni Block/6cm/Grey,593.28000000,593.28000000,M2
1/20/2024,Plant-01 Day Shift,Uni Block/6cm/Red,"1,006.85000000","1,006.85000000",M2
1/20/2024,Plant-01 Night Shift,Uni Block/6cm/Red,472.32000000,472.32000000,M2
1/20/2024,Plant-01 Night Shift,Rectangle 20x10/8cm/Red,"1,276.80000000","1,276.80000000",M2
1/20/2024,Plant-02 Day Shift,Rectangle 40x20/6cm/White,625.20000000,625.20000000,M2
1/20/2024,Plant-02 Day Shift,Rectangle 30x20/6cm/White,210.00000000,210.00000000,M2
1/20/2024,Plant-02 Day Shift,Square 20x20/6cm/White,190.80000000,190.80000000,M2
1/20/2024,Plant-02 Day Shift,Hexagon/6cm/White,130.56000000,130.56000000,M2
1/20/2024,Plant-02 Day Shift,Rectangle 20x10/6cm/White,180.00000000,180.00000000,M2
1/20/2024,Plant-02 Night Shift,Rectangle 20x10/6cm/Grey,"1,833.60000000","1,833.60000000",M2
1/11/2024,Plant-01 Day Shift,Rectangle 60x30/6cm/Grey/Single Mix,"1,748.52000000","1,748.52000000",M2
1/11/2024,Plant-01 Noght Shift,Square 30x30/6cm/Grey/Single Mix,"1,642.68000000","1,642.68000000",M2
1/11/2024,Plant-02 Day Shift,Square 8x8/6cm/Red,541.00000000,541.00000000,M2
1/11/2024,Plant-02 Day Shift,La Plaza Bishop/6cm/Red,529.25000000,529.25000000,M2
1/11/2024,Plant-02 Day Shift,Monaco Rhombus/6cm/Red,236.25000000,236.25000000,M2
1/11/2024,Plant-02 Night Shift,La Plaza Bishop/8cm/Red,"1,513.92000000","1,513.92000000",M2
1/11/2024,Plant-03 Day Shift,Rectangle 20x10/8cm/Dark Grey/Single Mix,186.00000000,186.00000000,M2
1/11/2024,Plant-03 NJight Shift,Rectangle 20x10/8cm/Dark Grey/Single Mix,"1,692.00000000","1,692.00000000",M2
1/11/2024,TopWerk,Rectangle 80x40/6cm/White/ShotBlast,356.00000000,236.00000000,M2
1/20/2024,TopWerk,Rectangle 20x10/6cm/Light Yellow/ShotBlast-Curl,595.00000000,573.00000000,M2
1/20/2024,TopWerk,Rectangle 20x10/6cm/White/ShotBlast-Curl,442.00000000,438.00000000,M2
1/20/2024,TopWerk,Rectangle 60x30/6cm/White/ShotBlast-Curl,30.00000000,28.00000000,M2
1/20/2024,Plant-01 Day Shift,La Plaza Bishop/8cm/Grey,"1,181.26000000","1,181.26000000",M2
1/20/2024,Plant-01 Night Shift,Rectangle 20x10/6cm/Red/Single Mix,"1,819.20000000","1,819.20000000",M2
1/20/2024,Plant-02 Day Shift,Uni Block/8cm/Grey/Single Mix,"1,510.27000000","1,510.27000000",M2
1/20/2024,Plant-02 Night Shift,Uni Block/8cm/Grey/Single Mix,550.66000000,550.66000000,M2
1/20/2024,Plant-02 Night Shift,Rectangle 20x10/8cm/Grey/Single Mix,"1,320.00000000","1,320.00000000",M2
1/20/2024,Plant-03 Day Shift,Multi-Size/8cm/Dark Grey,738.00000000,738.00000000,M2
1/20/2024,Plant-03 Day Shift,Heel Kerb 60x20x10 Grey,"5,880.00000000","5,880.00000000",Nos
1/20/2024,Plant-03 Night Shift,Rectangle 20x10/8cm/Grey/Single Mix,"1,736.40000000","1,736.40000000",M2
1/20/2024,TopWerk,Rectangle 20x10/6cm/Grey/ShotBlast,861.00000000,856.00000000,M2
1/20/2024,TopWerk,Rectangle 20x10/6cm/White/ShotBlast-Curl,180.00000000,179.00000000,M2
1/21/2024,Kerbstone,Kerbstone 60x30x15 10ch,"2,155.00000000","2,155.00000000",Nos
1/21/2024,Kerbstone,Kerbstone 91.5x20x10 B/N,750.00000000,750.00000000,Nos
1/21/2024,Kerbstone,Kerbstone 60x30x15 B/N,"1,210.00000000","1,210.00000000",Nos
1/21/2024,Plant-01 Day Shift,Rectangle 20x10/6cm/Red/Single Mix,"1,933.20000000","1,933.20000000",M2
1/21/2024,Plant-02 Day Shift,Rectangle 20x10/8cm/Grey/Single Mix,"1,516.80000000","1,516.80000000",M2
1/21/2024,Plant-03 Day Shift,Rectangle 20x10/8cm/Dark Grey/Single Mix,978.00000000,978.00000000,M2
1/21/2024,TopWerk,Rectangle 20x10/6cm/Light Yellow/ShotBlast-Curl,471.00000000,452.00000000,M2
1/21/2024,TopWerk,Rectangle 60x40/8cm/Dark Beige/ShotBlast-Curl-Coat,292.00000000,249.00000000,M2
1/22/2024,Kerbstone,Kerbstone 60x30x15 10ch,"2,175.00000000","2,175.00000000",Nos
1/22/2024,Kerbstone,Kerbstone 91.5x20x10 B/N,840.00000000,840.00000000,Nos
1/22/2024,Kersbstone,Kerbstone 60x30x10 B/N,"1,210.00000000","1,210.00000000",Nos
1/22/2024,Plant-01 Day Shift,Square 10x10/6cm/Grey/Single Mix,939.60000000,939.60000000,M2
1/22/2024,Plant-01 Day Shift,Square 20x20/6cm/Grey/Single Mix,600.00000000,600.00000000,M2
1/22/2024,Plant-01 Night Shift,Square 20x20/6cm/Grey/Single Mix,640.80000000,640.80000000,M2
1/22/2024,Plant-01 Night Shift,Rectangle 60x30/6cm/Grey/Single Mix,"1,117.80000000","1,117.80000000",M2
1/22/2024,Plant-02 Day Shift,La Plaza Bishop/6cm/Tan,471.25000000,471.25000000,M2
